,federal_district,city,geo_lat,geo_lon
286,Центральный,Сосенский,54.05660160000001,35.9621646
287,Центральный,Спас-Деменск,54.409921999999995,34.0189631
288,Центральный,Сухиничи,54.09729599999999,35.3443568
289,Центральный,Таруса,54.72364770000001,37.1671
290,Центральный,Юхнов,54.74464449999999,35.2424346
291,Дальневосточный,Вилючинск,52.9302415,158.4057632
292,Дальневосточный,Елизово,53.1830375,158.38835480000003
293,Дальневосточный,Петропавловск-Камчатский,53.036908,158.6559254
294,Северо-Кавказский,Карачаевск,43.773252500000005,41.9143472
295,Северо-Кавказский,Теберда,43.4437731,41.741514200000005
296,Северо-Кавказский,Усть-Джегута,44.0838442,41.971104600000004
297,Северо-Кавказский,Черкесск,44.2269425,42.0466704
298,Северо-Западный,Беломорск,64.5378417,34.779946200000005
299,Северо-Западный,Кемь,64.9543539,34.5949263
300,Северо-Западный,Кондопога,62.2059817,34.2682122
301,Северо-Западный,Костомукша,64.58893979999999,30.6016832
302,Северо-Западный,Лахденпохья,61.51888100000001,30.199611600000004
303,Северо-Западный,Медвежьегорск,62.91276260000001,34.4568489
304,Северо-Западный,Олонец,60.9794025,32.9725519
305,Северо-Западный,Петрозаводск,61.789126399999994,34.3596434
306,Северо-Западный,Питкяранта,61.5757191,31.464055699999996
307,Северо-Западный,Пудож,61.8058821,36.532994099999996
308,Северо-Западный,Сегежа,63.743757200000005,34.3126982
309,Северо-Западный,Сортавала,61.70336700000001,30.691699800000002
310,Северо-Западный,Суоярви,62.07872929999999,32.3499386
311,Сибирский,Анжеро-Судженск,56.078628099999996,86.0201278
312,Сибирский,Белово,54.4220968,86.30373730000001
313,Сибирский,Березовский,55.669351299999995,86.2744459
314,Сибирский,Гурьевск,54.28592629999999,85.9475985
315,Сибирский,Калтан,53.5210919,87.2771636
316,Сибирский,Кемерово,55.391065100000006,86.0467781
317,Сибирский,Киселевск,54.00599989999999,86.6366116
318,Сибирский,Ленинск-Кузнецкий,54.66744920000001,86.1797324
319,Сибирский,Мариинск,56.21273829999999,87.74549240000002
320,Сибирский,Междуреченск,53.6865289,88.07027540000001
321,Сибирский,Мыски,53.712569499999994,87.8055646
322,Сибирский,Новокузнецк,53.794315000000005,87.2142745
323,Сибирский,Осинники,53.598805500000005,87.3371272
324,Сибирский,Полысаево,54.6055,86.2809208
325,Сибирский,Прокопьевск,53.8604265,86.7183577
326,Сибирский,Салаир,54.2351735,85.8030733
327,Сибирский,Тайга,56.06221310000001,85.6207182
328,Сибирский,Таштагол,52.759313,87.8476546
329,Сибирский,Топки,55.276470700000004,85.61526190000001
330,Сибирский,Юрга,55.7202694,84.88863990000002
331,Приволжский,Белая Холуница,58.84152389999999,50.846069899999996
332,Приволжский,Вятские Поляны,56.2284817,51.061485499999996
333,Приволжский,Зуевка,58.4032152,51.133160600000004
